agency_name,county,population,nibrs_start_date,murder_and_nonnegligent_manslaughter,negligent_manslaughter,rape,robbery,assault,burglary,larceny_theft,motor_vehicle_theft,arson,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,months_reported,report_year,agency_type,university_pd,nibrs_eligible_months,has_preliminary_nibrs_reporting,nibrs_contribution_percentage
RIO GRANDE CITY ISD PD,Starr County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
RIO GRANDE CITY PD,Starr County,14617,2019-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
RIO HONDO PD,Cameron County,2835,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
ROMA ISD PD,Starr County,0,2019-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
ROMA PD,Starr County,11506,2016-12-01,0,0,4,2,119,17,49,18,0,0,0,12,2018-12-31,Police Department,False,12,False,100.0
SAN BENITO PD,Cameron County,24559,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
SAN ELIZARIO MARSHALS OFFICE,El Paso County,9161,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,,False,0,False,0.0
SAN JUAN PD,Hidalgo County,37398,2016-11-01,1,1,20,14,462,100,726,47,1,0,0,12,2018-12-31,Police Department,False,12,False,100.0
SANTA ROSA ISD PD,Cameron County,0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
SOCORRO ISD PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
SOCORRO PD,El Paso County,34327,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
SOUTH PADRE ISLAND PD,Cameron County,2830,2018-01-01,0,0,23,1,189,37,402,29,0,0,0,12,2018-12-31,Sheriff's Office,False,12,False,100.0
STARR CO SO,Starr County,36924,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
SUL ROSS STATE UNIV PD,Brewster County,0,2018-04-01,0,0,0,0,4,4,4,0,0,0,0,5,2018-12-31,Police Department,True,9,False,55.56
SULLIVAN CITY PD,Hidalgo County,4172,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
TERRELL CO SO,Terrell County,783,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
TSTC: HARLINGEN PD,Cameron County,0,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
TX A&M UNIV INTERNATIONAL PD,Webb County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,True,0,False,0.0
UNITED ISD PD,Webb County,0,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
UNIV OF TX RIO GRANDE VALLEY PD,Hidalgo County,0,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,True,0,False,0.0
